seed,lnz_dynesty4000,lnz_err_dynesty4000,lnz_dynesty2000,lnz_err_dynesty2000,lnz_nismo,lnz_err_nismo,lnz_morph_dynesty,lnz_err_morph_dynesty
51,-16091.187468622717,0.07310987917921284,-16091.04690232729,0.09965022200865895,-16091.26698928494,0.05681856402201184,-16091.28072420942,0.1886324400791846
52,-16033.394285263634,0.0660866873004672,-16033.393715115686,0.09198868449758062,-16033.513709374763,0.051743224971854504,-16032.992034648823,0.1378464480945465
53,-16190.87033499668,0.06369825195564362,-16190.787185516021,0.08902183607894723,-16190.928777486739,0.05553888931716498,-16190.46030110652,0.143615495284953
54,-16396.529450446218,0.08453758247977271,-16396.6704373257,0.11795499412505205,-16396.935659539122,0.05640880703777882,-16396.16047175223,0.1942605890030285
55,-16402.04489567114,0.06895666170654513,-16402.08256202551,0.0966885295702948,-16401.8297806254,0.057905674835412334,-16401.96782242249,0.1653054960541927
56,-16226.905196010723,0.07345031394155331,-16226.934676448198,0.10498331545114332,-16227.160608059747,0.05829030430034564,-16226.924553042436,0.2300360835289071
57,-16073.508141477738,0.07688073455438366,-16073.402896158896,0.1056857596426716,-16073.628848126758,0.06458519477840804,-16073.260549832878,0.3053686457054184
58,-16408.122699509615,0.07953085213774165,-16408.08059634359,0.1106886412035059,-16408.19317748406,0.06124934635812071,-16407.966141536966,0.3043376759893543
59,-16094.560407940757,0.07635907805588446,-16094.665960550017,0.10646760993563711,-16094.731980375862,0.05766528366815993,-16094.692970455675,0.2195189541451807
60,-16095.553724539073,0.0813417456260713,-16095.50998279093,0.1112383340743411,-16095.835308184838,0.06208970753832617,-16095.45196572288,0.2971937515409965
61,-16118.433413394032,0.06989354406483042,-16118.506317134385,0.09747878974098959,-16118.61493395595,0.05443866010687276,-16118.433735362598,0.1617511498224456
62,-15961.521138396878,0.07044667398678563,-15961.48067716354,0.09690464520096397,-15961.657106481858,0.056468842922257526,-15961.235032854333,0.1762648717209968
63,-16122.472894897115,0.079186813145253,-16122.54539644327,0.11042183127050045,-16122.724139159325,0.0633041729544045,-16122.419848176136,0.3506783970019952
64,-16280.996210987269,0.04199558735707092,-16281.021368967122,0.058030614735064504,-16281.096261602059,0.037789395453164426,-16280.663197546884,0.0410554808746324
65,-16183.643179640121,0.07120089961916864,-16183.733512763201,0.0985111468260013,-16183.713948949695,0.052621226910542315,-16183.368611147494,0.1531592985273607
66,-16363.57995411352,0.07174089250202569,-16363.681389935253,0.10038439828285349,-16363.697083121699,0.053776895210358076,-16363.538670305725,0.1396070848094916
67,-16195.5738781538,0.08449134975901422,-16195.436862365077,0.11530813661286023,-16196.036675140867,0.05724348304122457,-16195.444825858827,0.1819772407807616
68,-16401.335656843785,0.08138555258754107,-16401.413787505153,0.11285564501240913,-16401.56792927118,0.05878460453649227,-16401.45665023284,0.2263236107281589
69,-16200.301151109765,0.07263967012927158,-16200.323956563494,0.10075034686634243,-16200.605597772395,0.05406354115875364,-16200.29002908183,0.147204138572498
70,-16249.684633935418,0.07152632737405024,-16249.68371499594,0.09821751042941358,-16249.762798219492,0.0546095199030372,-16249.637262983126,0.1357300535350371
71,-16349.486735662062,0.06728271232656408,-16349.401560794477,0.09328807480602647,-16349.411756054998,0.05223020869783552,-16349.225376841368,0.1280840347409243
72,-16301.033097477582,0.07211378731460079,-16301.092937528589,0.09906540749457898,-16300.923788076936,0.0565109707278786,-16300.83870208104,0.1584301927784153
73,-16212.17611581879,0.0847761482845383,-16212.111893362273,0.11602855237496149,-16212.381574236166,0.061711403651769796,-16212.378527573665,0.2523805633895704
74,-16382.142675477935,0.0787318591958928,-16382.084608875612,0.10807494515750886,-16382.138917260914,0.05749586673084944,-16382.100208614544,0.221079224253684
75,-16258.649186202427,0.06784834804417121,-16258.556335170075,0.09585983997973861,-16258.74996766389,0.05162775335326832,-16258.483694574006,0.1228843969915121
76,-16144.076092460587,0.06514163906171895,-16143.962586021704,0.09187284245914705,-16144.41772273723,0.05704903462932909,-16143.893334046354,0.1726605327388636
77,-16121.777006299148,0.07300846018322096,-16121.770970981072,0.10204553131424884,-16121.421912032574,0.06059345463988521,-16121.517660101516,0.2446624710490572
78,-16314.402570857555,0.057628682665169774,-16314.28537167854,0.0778141032093615,-16314.72425892961,0.05237622497444661,-16314.153807955305,0.1130544050609018
79,-16298.57864449504,0.06968890768611741,-16298.482638520796,0.09624547534361533,-16298.762728597863,0.0595633774957078,-16298.62907911477,0.2044863856968037
80,-16378.99843581893,0.08903195439214577,-16378.852334844665,0.12305553211325881,-16379.277520972613,0.060350705869294904,-16379.276005352827,0.2665453940918891
81,-16315.079435583835,0.07326438138994446,-16315.043361746655,0.10030772231848978,-16315.437031840442,0.05817889893404766,-16315.357177940696,0.1935477638511407
82,-16414.728239546475,0.06858826801280787,-16414.70072228092,0.09532599025079687,-16414.80995667389,0.05468140925316395,-16414.666734452214,0.1521627214554718
83,-16362.167708604895,0.07433474746348046,-16362.21018565805,0.10303822942382686,-16361.950501133337,0.056009425235787745,-16362.3216457718,0.1908527871323407
84,-16049.554846705774,0.06259724063545967,-16049.688313745135,0.08771898397087141,-16049.828735533481,0.05036593660477041,-16049.416365601272,0.1170324477992896
85,-16373.037975212781,0.08966487903174916,-16372.926451103234,0.12260408869430427,-16372.185420837517,0.0632041160955325,-16372.614558711011,0.2922506778503365
86,-16291.323218426356,0.06940622220476102,-16291.326019747254,0.09622635925373278,-16291.522747189409,0.057238488047303554,-16291.357739655556,0.2058202142601649
87,-16162.881175069251,0.06660476692595067,-16162.674966591852,0.09394604931717283,-16162.879044078563,0.05496879660269384,-16162.578341008631,0.1277899816278453
88,-16302.722362866723,0.08442071647290164,-16302.748217372433,0.11647005885046151,-16302.840951095868,0.05599490140616319,-16302.91334692906,0.1684454678907581
89,-15969.901427148778,0.07808746819196903,-15969.830120753553,0.10886530184145349,-15970.236821302946,0.057341955554846974,-15969.877706470015,0.2012201554686568
90,-16121.108437800502,0.07291983490145318,-16121.086190696442,0.09990133677877536,-16121.199841201264,0.05126949495238434,-16121.008574196389,0.1189255036827404
91,-16085.344395276843,0.08059519955191578,-16085.344720232015,0.11298615812897843,-16085.432315560864,0.05645104423898369,-16085.323246931575,0.1796056978896733
92,-16289.263103806015,0.07754786822553732,-16289.07087167953,0.10753861303171999,-16289.170892385884,0.05858095176660165,-16289.198565981542,0.2240665607089166
93,-16261.399568369106,0.06721978260729718,-16261.481196198103,0.09442758732147886,-16261.680047782374,0.05504072339514785,-16261.386876218228,0.1562256280593256
94,-16260.256702695056,0.06900036970687741,-16260.315599938876,0.09631850999187129,-16260.552515697094,0.05549914957588805,-16259.869367108044,0.1771316544901738
95,-16233.210428496575,0.06363288995283889,-16233.079287638498,0.08621574604916023,-16233.35451678851,0.054772813634561664,-16232.885808106144,0.1382810609010276
96,-16190.81275044139,0.06492344564954934,-16190.860991174834,0.086985407106647,-16190.944996874703,0.05499959055822733,-16190.788129377945,0.1558095637348835
97,-16339.299394015216,0.07892765873209176,-16339.306604432591,0.1093547651774319,-16339.538521182098,0.059257159596311296,-16339.441968183752,0.2240937185499109
98,-16345.307811716528,0.07904382532463927,-16345.402718347024,0.10999102431472109,-16345.49494354333,0.05243032715307274,-16345.267539583789,0.1284051801926977
99,-16067.663025517879,0.06299018499846093,-16067.60887642384,0.08845588335703791,-16067.759075265183,0.05196595562833257,-16067.54029414613,0.1184606597760915
