seed,lnz_dynesty,lnz_err_dynesty,lnz_mcmc,lnz_err_mcmc,lnz_morph_dynesty,lnz_err_morph_dynesty,lnz_morph_mcmc,lnz_err_morph_mcmc
16,-15972.461772627,0.111220260889109,-15971.557564870684,0.1644656250420283,-15972.4718832851,0.222142533395835,-15972.591639623071,0.2756984856824244
17,-16182.90836409016,0.1036781566401724,-16181.862292671396,0.1301761457658343,-16182.984340192235,0.1586248510244667,-16182.873981031022,0.1706116678125449
18,-16217.60611758616,0.135012397837763,-16222.908742519345,0.1621117786514816,-16218.175671693976,0.3034651254605136,-16218.1752913335,0.2679977544592608
19,-16086.864640965226,0.1219678924570411,-16083.22594370344,0.1893276920966317,-16086.635202185702,0.2158527105334985,-16086.68044476487,0.2561052508592
20,-16365.559938235594,0.1329670352960923,-16370.22450669101,0.1570524814762595,-16365.488056188196,0.3321357133462002,-16365.34751086316,0.373539020483929
21,-16066.354972287454,0.1040290652600229,-16065.278130015531,0.1264524226705899,-16066.267835909845,0.2000114847679699,-16066.377743970754,0.2376941657042938
22,-15952.578257751442,0.1393557027273844,-15968.145019825764,0.14200107121108,-15952.92188569604,0.2158697363606967,-15952.741448395762,0.2485382329054788
24,-16369.101054873274,0.1161878728975571,-16369.638898036184,0.1186395714549662,-16369.299101777622,0.3928550302876094,-16369.083351529564,0.4269863758068976
25,-16087.64241227989,0.1320328374514709,-16094.498123601228,0.137716138293235,-16087.959021362933,0.3321813718250965,-16087.6706033483,0.3598425427923773
26,-16127.64102656982,0.1016607638440772,-16125.830610765788,0.1270227584596445,-16127.390256788756,0.2258962625294675,-16127.40747047562,0.2542597830615571
27,-16283.018156598882,0.099587359993724,-16281.720642720133,0.1623846066953144,-16282.75507005694,0.152928057983641,-16282.835177123872,0.1983133539269861
28,-16074.836106401344,0.0993195898920719,-16073.635402053344,0.1281640803946405,-16075.033409252135,0.1662252519603625,-16074.797805356891,0.1922766715212899
29,-16151.812255944707,0.0981229629079444,-16150.572656613394,0.1397508907995146,-16151.645180024823,0.1520536529328107,-16151.634625823686,0.1962798056411404
30,-16032.73407160509,0.1261602401358092,-16037.203902431856,0.1480316068865243,-16033.104928375607,0.3522793327305899,-16032.85744874866,0.4195538073422943
31,-16432.824734298338,0.1264960447740751,-16432.019162306635,0.1484797880397521,-16432.929821188372,0.1975823820460367,-16432.986445257386,0.2191413399911636
32,-16283.190260804837,0.1195485818775478,-16289.12647509547,0.1346368016121323,-16283.837011907655,0.3995384943502459,-16283.153723035706,0.4060262680776715
33,-15947.281471275908,0.0636692249798343,-15946.941171607885,0.075716011998434,-15946.971650568255,0.0584358828752193,-15946.916967787203,0.0730253834565899
34,-16226.179394190169,0.1108375443812539,-16232.578301955426,0.2013044416511849,-16226.471932459586,0.312056636910699,-16226.162718170708,0.3313793198982667
35,-16031.336245086784,0.1226245130105707,-16039.559484479489,0.113711788289185,-16031.654221797278,0.3370131719634498,-16031.81172696548,0.4261466110450218
36,-16154.77707843764,0.1165563342912058,-16158.187622190871,0.1073168333762098,-16154.82244316741,0.3354431253382539,-16154.554334595892,0.3918813486266213
37,-16341.386078998525,0.107103963304622,-16339.79806738517,0.1371146244765941,-16341.635767827574,0.2124847544461856,-16341.341970966752,0.2221853787049832
38,-16373.050728326274,0.1103086044484886,-16371.002587435702,0.1030929660832277,-16373.1282746172,0.1763119786434949,-16372.978740466691,0.1994643552985083
39,-16112.441482833938,0.0954628770161726,-16111.158423607858,0.1313880155259416,-16112.18939256574,0.183649490004267,-16112.108866073284,0.1935018446828289
40,-16344.492759171048,0.1202920148947938,-16355.8159329225,0.1238805553935088,-16345.01626520972,0.3353531157849722,-16344.765201981148,0.3864140005577443
41,-16377.958263119805,0.0978084316984124,-16377.11205435413,0.1116682748701032,-16378.091498127054,0.128150150702599,-16378.013121217908,0.1460369344050775
42,-16427.95996429391,0.1120019831682705,-16434.90254181261,0.1069333980329458,-16428.33968321527,0.2735067833506859,-16428.20641437287,0.3693899263624153
43,-16240.9125336356,0.1192625119954522,-16239.342120103209,0.2425091260395499,-16240.925180512491,0.2091066029687618,-16240.813302012102,0.2221060558480879
44,-16415.120757579116,0.1157085639763301,-16414.022609567026,0.1477712534100191,-16415.272278501947,0.2147065348414609,-16415.359085545417,0.2498720895508974
45,-16215.433304986542,0.1346112732902265,-16213.739847178444,0.1953199930166852,-16215.227592998104,0.3001739452775406,-16215.434485740005,0.3126656900731483
46,-16083.454115777156,0.1011095668877515,-16083.73904681898,0.1457594259193569,-16083.463046084084,0.1262832623179423,-16083.404898012624,0.1437273353004348
47,-16210.92540224035,0.1018498249304563,-16209.6517819882,,-16210.945830072003,0.2043121341365305,-16210.640528767985,0.2238182642689112
48,-16518.613098362486,0.1059139622747081,-16521.08123555042,0.1101479133956194,-16518.580935960654,0.2539476014236259,-16518.6068631832,0.2736441553507472
49,-16220.049781487933,0.1040107346344105,-16219.18027323678,0.1573883592570769,-16220.261493207814,0.174564980700626,-16220.318294145774,0.1919019821056439
50,-16134.110211632576,0.1125450344766492,-16135.637664003796,0.1221851729821483,-16134.170786533185,0.249694509154847,-16134.002307273253,0.2857863772983779
51,-16091.04690232729,0.0996502220086589,-16090.70932849084,0.1490102484990358,-16091.28072420942,0.1886324400791846,-16091.200946335834,0.2180402217327142
52,-16033.393715115686,0.0919886844975806,-16032.654969189753,0.102171807559277,-16032.992034648823,0.1378464480945465,-16033.039738679485,0.1520755910508812
